index,text,response,gemini
516,A man hits a birdie with a,,"golf club. 
"
517,People in equestrian gear ride horses,,"in competitions. 
"
518,A woman is seen speaking to the camera and leads,,"a protest march down a crowded street. 
"
519,A shot of a lawn mower is shown,,"whizzing across the overgrown grass. 
"
520,"A car is seen driving around, coffee brewing,",,"and birds chirping on a sunny Saturday morning. 
"
521,The man quickly drinks coffee and quickly rushes,,"to work. 
"
522,There's a person in a red shirt and,,"blue jeans walking a dog. 
"
523,"He steps in the first time, holding the bowling ball in his",,"right hand. 
"
524,Then he comes back the second time with the bowling ball,,"and drops it in the pool. 
"
525,He hits a strike again for,,"the win! 
"
526,A man woman with long hair is seen poking at,,"a campfire with a stick. 
"
527,A man is sewing a garment,,"with a needle and thread. 
"
528,A man wipes his,,"brow. 
"
529,Several people are in a gym doing,,"various exercises. 
"
530,A man in a blue shirt is wearing,,"a blue shirt. 
"
531,A view is shown of,,"a bustling city street. 
"
532,There is a small dog standing next to the garbage,,"can. 
"
533,"The log was cut in half, he moved the other half away, and the other",,"half remained. 
"
534,"He put the axe on the big log, the man went away to get",,"more wood. 
"
535,"He finished cutting the first half, he moved",,"on to the second. 
"
536,"He went away, took another small log, cut",,"it into pieces. 
"
537,A senior photo of a girl,,"captures a fleeting moment of youth and beauty. 
"
538,"Then we see a team of lacrosse players on a field,",,"practicing for their upcoming championship game. 
"
539,Two team play hurling kicking,,"Two teams play hurling **by** kicking 
"
540,We see the,,"stars. 
"
541,We see a man talking to,,"a police officer. 
"
542,The man plays the,,"piano. 
"
543,A close up of ice is seen followed,,"by a wide shot of a glacier. 
"
544,A close up of trees are shown followed by,,"a wide shot of a bustling city. 
"
545,"A man is then seen rubbing his hands, pitching a tent,",,"and settling in for the night. 
"
546,The man has trouble lighting the fire when another person,,"walks by. 
"
547,Flowers are shown,,"as symbols of love and beauty. 
"
548,There is a cute baby girl who's name is jessica and she is,,"six months old. 
"
549,A girl walks over in front,,"of the bakery. 
"
550,A group of boys,,"played basketball in the park. 
"
551,"A woman washes the hair of a lady, after",,"she shampoos it. 
"
552,A chef adjust the cake pan into place and,,"slides it into the oven. 
"
553,The chef uses a spatula to,,"flip the pancakes. 
"
554,The woman with apron is,,"a baker. 
"
555,"The woman add hot water in the chocolate, sieved the flour in a bowl,",,"and preheated the oven. 
"
556,A close up of a ball is shown as well as people watching on the,,"sidelines. 
"
557,A brown sandy tennis court is shown and,,"the net droops in the middle. 
"
558,A person is shown jumping off a jump on water,,"skis. 
"
559,The camera is showing an,,"image. 
"
560,A man approaches the arc welder and begins,,"to weld. 
"
561,A woman is seen speaking to the camera in front of a car and,,"a house with a red door. 
"
562,She then instructs how to properly change a tire by using a,,"jack. 
"
563,A woman is standing over,,"a simmering pot. 
"
564,Someone puts onions in the skillet and beats eggs and other,,"ingredients together. 
"
565,Then she places the spare,,"key under the mat. 
"
566,A small white ball dashed out into the court,,"and landed squarely on the line. 
"
567,Another player then steals the ball and starts kicking it until its,,"momentum carries it out of bounds. 
"
568,"A short montage of similar moves, the player",,"scores effortlessly. 
"
569,A man is seen drinking out of a cup held,,"with both hands. 
"
570,A teen boy is standing in a,,"crowded school cafeteria. 
"
571,He fills the pitcher with,,"water. 
"
572,A woman in a black shirt,,"walked her dog in the park. 
"
573,"They take a bow, pick up the rope, and each team",,"pulls with all their might. 
"
574,A green race car comes,,"first. 
"
575,The pit crew begins to work on the car by,,"changing the tires. 
"
576,A man in a white shirt,,"stood on the corner. 
"
577,There's a woman with short,,"hair. 
"
578,She begins by wearing a headband to,,"hide a growing bald spot. 
"
579,"Then with a brush she applies some eyeliner on her eyelids, followed by",,"mascara. 
"
580,She takes a pair of eyelash curlers and curls her,,"lashes 
"
581,"A girl is standing at a sink,",,"washing her hands. 
"
582,We see an animation on,,"the screen. 
"
583,A person washes and,,"dries their hands. 
"
584,We see people working out on,,"treadmills. 
"
585,A woman and a man are inside a,,"library. 
"
586,A man is hanging on a rock,,"face. 
"
587,The man swings back and fourth and how,,"he doesn't fall is a mystery. 
"
588,He begins climbing up the wall,,"with surprising agility. 
"
589,We see a bartender behind a,,"bar. 
"
590,The man pours it in,,"his coffee. 
"
591,A baby is shown laying in bed,,"sound asleep. 
"
592,A person prepares to bungee jump over a body,,"of water. 
"
593,"The person is sitting down, first,",,"on the chair. 
"
594,A person is seen sitting behind a table solving,,"a crossword puzzle. 
"
595,A girl is pushing two little,,"wagons. 
"
596,There is a garden with,,"vibrant wildflowers and buzzing bees. 
"
597,The man climbs up a tall ladder to,,"reach the roof. 
"
598,"Alexandra raisman from massachusetts is seen wearing purple leotards,",,"while performing her floor routine. 
"
599,She jumps right onto the horse bar,,"e. 
"
600,People in recorded video,,"can be heard but not touched. 
"
601,Spectators sit and stand behind,,"the yellow line. 
"
602,A girl holding a stick is spoken to by an,,"old woman. 
"
603,The boat turns and we see it from,,"the shore. 
"
604,A little boy is bending over dipping,,"a stick in the stream. 
"
605,A man stands atop,,"a snow-covered mountain. 
"
606,Several scenes of individuals rock climbing are shown from various angles,,"to emphasize the danger and exhilaration of the sport. 
"
607,"A man is at a park, where he and his wife, who",,"is pushing a stroller, are meeting friends for a picnic. 
"
608,A ball is shown swinging around followed by,,"a stationary ball. 
"
609,A man records an athlete holding the,,"finish line tape. 
"
610,A man is seen doing karate in front of another with a knife and,,"a third person filming. 
"
611,The man celebrates as people watch and clipart is shown as,,"confetti rains down. 
"
612,"Steven richardson, a store manager, discusses the topic of",,"employee performance reviews. 
"
613,He explains that mismatched tires on 4,,"-wheel drive vehicles can cause damage to the drivetrain. 
"
614,There are two brown hot dog dogs standing at,,"the counter. 
"
615,A group of men sit around a bar,,", sharing stories and laughter. 
"
616,We see astronauts floating,,"in space. 
"
617,"After, a person gives another hula ring to the",,"third person in line. 
"
618,We see a little girl,,"playing with a red ball in the park. 
"
619,A man wearing a white shirt and frog pattern,,"tie walked into the room. 
"
620,A man is standing in,,"line. 
"
621,A little girl wearing a brown bow is standing,,"in line for ice cream. 
"
622,The man is kicking the tile,,"off the roof. 
"
623,A woman is seen speaking to the camera in front of a large exercise,,"ball. 
"
624,A little girl in a,,"red coat skipped by. 
"
625,A man is seen standing before a large,,"mirror. 
"
626,A group of people are seen riding in,,"a hot air balloon. 
"
627,A young child is seen climbing up a,,"tree. 
"
628,Three men in white are doing,,"surgery. 
"
629,A person is seen roller balding around a street,,"with effortless grace. 
"
630,A close up of water rapids is shown followed by,,"a kayaker paddling towards them. 
"
631,An intro leads into a tall man wearing a santa,,"suit, ringing a bell. 
"
632,The man throws it to a dog who is balancing on a blue floating,,"ball. 
"
633,She comes running again and jumps on the,,"bed. 
"
634,A man is seen speaking to the camera while moving his,,"hands expressively. 
"
635,A close up of potatoes are shown followed,,"by a shot of them being mashed. 
"
636,A man is hanging,,"by a thread. 
"
637,He peels the sticky side,,"off the pad of paper. 
"
638,A woman removes a,,"ring from her finger. 
"
639,The woman removes,,"her glasses. 
"
640,A young girl,,"skipped down the sidewalk, humming to herself. 
"
641,A close up shot of children are seen riding around,,"a carousel at the carnival. 
"
642,A lady that works at a casino,,"deals cards. 
"
643,The lady then explains what you are allowed to do with the cards that,,"you draw. 
"
644,Finally she deals out two more cards to her self and shows the outcome,,"...a pair of kings, enough to win the pot. 
"
645,A man is seen holding a power drill with a,,"screwdriver bit. 
"
646,We see a santa clause,,"at the mall. 
"
647,We see white and yellow,,"daisies in the garden. 
"
648,A large group of people are seen,,"...protesting in the streets. 
"
649,Shots of people standing on the sides are shown as well as,,"close-ups of the athletes' determined faces. 
"
650,A man is seen bent over washing his hands,,"in a public restroom. 
"
651,The men are competitive as they play using feet,,"...in a soccer match. 
"
652,A group of six are on a little,,"raft. 
"
653,They almost hit a wall of rocks but are able to turn,,"sharply. 
"
654,Men walk out on a,,"limb. 
"
655,One man is lifted high and swings two men on his arms,,"in a daring circus stunt. 
"
656,The man then makes repairs using tools while two,,"women watch and offer suggestions. 
"
657,We see a person in a,,"mirror. 
"
658,A fire starts on the eye,,"of the storm. 
"
659,The person flips the,,"coin. 
"
660,An overhead view of,,"a bustling city square. 
"
661,A man in a funny blue vest is shown,,"juggling rubber chickens at a birthday party. 
"
662,To teams play hurling in,,"a match. 
"
663,A man is holding another man on his shoulders in,,"a crowded concert. 
"
664,A woman wearing scuba diving,,"gear emerged from the water. 
"
665,An athlete in black shirt gives instructions for a,,"relay race. 
"
666,The man gives more instructions on a,,"need-to-know basis. 
"
667,A small child is seen,,"playing in the park. 
"
668,"A group of people are on rafts,",,"drifting down a lazy river. 
"
669,"At the bowling alley, there",,"were flashing lights and the rumble of strikes. 
"
670,Athletes run down a track and,,"jump over hurdles. 
"
671,A woman is standing in a gated,,"garden. 
"
672,These girls are shown kneeling down on the floor and playing dress up one,,"afternoon. 
"
673,The man with black apron,,"flipped the burger with practiced ease. 
"
674,A girl jumps onto,,"a trampoline. 
"
675,The group forms a circle and two of the,,"members are chosen to go first. 
"
676,A lady is sitting,,"in a cafe. 
"
677,She goes over all the,,"details. 
"
678,A white wall on the interior,,"reflects more light. 
"
679,A measuring tape is,,"flexible. 
"
680,The green and white team,,"won the championship. 
"
681,The green and white team are pulling the,,"rope. 
"
682,A cook is standing in,,"a kitchen. 
"
683,A young girl with a pool cue walks to a,,"pool table. 
"
684,We see two men in a yard,,"raking leaves. 
"
685,We see a dirt,,"road. 
"
686,At the fair the bumper,,"cars were popular. 
"
687,A bunch of different people are,,"a kaleidoscope of perspectives. 
"
688,We see men playing,,"chess in the park. 
"
689,The ball enters and everyone,,"roars. 
"
690,People are participating in a tug,,"of war. 
"
