index,text,response,qwen72b
26577,"These are the families of the Simeonites,",,"who were descendants of Simeon, the second son of Jacob and Leah."
26578,"The children of Gad after their families: of Zephon, the family of the Zephonites:",,"of Haggi, the family of the Haggites: of Shuni, the family of the Shunites: of Ozni, the family"
26579,"Of Ozni, the family of the Oznites:",,their genealogy was recorded in the book of the Chronicles.
26580,"Of Arod, the family of the Arodites:",,"Of Arod, the family of the Arodites: they dwelt in the land of their father, a land of hills and valleys, rich"
26581,These are the families of the children of Gad according to,,"their generations: Zephon, Haggi, Shuni, Ezbon, Eri, Arodi, and Areli."
26582,The sons of Judah were Er and Onan: and,,the Lord slew them.
26583,"And the sons of Judah after their families were; of Shelah, the family of the",,"Shelahnites: of Perez, the family of the Perezites: of Zerah, the family of the Zerahites."
26584,"And the sons of Pharez were; of Hezron, the family",,"of the Hezronites; of Hamul, the family of the Hamulites."
26585,These are the families of Judah according to those that were,,"numbered, by their generations, after their fathers' houses, according to their armies for war."
26586,"Of the sons of Issachar after their families: of Tola, the",,"family of the Tolaites; of Puah, the family of the Punites; of Jashub, the family of the Jashub"
26587,"Of Jashub, the family of the Jashubites:",,"Of Jashub, the family of the Jashubites: their inheritance was in Issachar."
26588,These are the families of Issachar according to those that were,,"numbered, as their genealogy."
26589,"Of the sons of Zebulun after their families: of Sered, the family of the Sardites:",,"of Elon, the family of the Elonites: of Jahleel, the family of the Jahleelites."
26590,These are the families of the Zebulunites according to those,,who were numbered:
26591,The sons of Joseph after their,,names were Manasseh and Ephraim.
26592,"Of the sons of Manasseh: of Machir, the family of the Machirites:",,"and of Gilead, the family of the Gileadites."
26593,"These are the sons of Gilead: of Jeezer, the family",,"of Jeezerites; of Helek, the family of Helekites; of Asriel, the family of Asrielites; of She"
26594,"And of Asriel, the family of the Asrielites:",,"And of Asriel, the family of the Asrielites:"
26595,"And of Shemida, the family of the Shemidaites:",,"And of Shemida, the family of the Shemidaites:"
26596,"And Zelophehad the son of Hepher had no sons, but daughters: and the names",,"of his daughters were Mahlah, Noah, Hoglah, Milcah, and Tirzah."
26597,"These are the families of Manasseh, and those that were",,numbered of them were fifty-two thousand seven hundred.
26598,"These are the sons of Ephraim after their families: of Shuthelah, the family of the",,Shuthalhites.
26599,And these are the sons of Shuthelah:,,"Ezer, and Elead, and Rathniel."
26600,"The sons of Benjamin after their families: of Bela, the family of the Belaites:",,"of Ashbel, the family of the Ashbelites: of Ahiram, the family of the Ahiramites: of Shupham, the"
26601,"Of Shupham, the family of the Shuphamites:",,their genealogy was recorded in the book of the chronicles of the kings of Israel.
26602,"And the sons of Bela were Ard and Naaman: of Ard, the",,"Ardites; and of Naaman, the Naamites."
26603,These are the sons of Benjamin after their families: and they that,,are numbered of them were twenty thousand and two hundred.
26604,These are the sons of Dan after their,,families.
26605,"All the families of the Shuhamites, according to those that were",,"enumerated by their generations, were thirteen."
26606,"Of the children of Asher after their families: of Jimna, the family of the Jimnites:",,"of Jesui, the family of the Jesuites:"
26607,"Of the sons of Beriah: of Heber, the family of",,"the Jekuthielites; of Malchiel, the family of the Beriites."
26608,And the name of the,,and the name of the
26609,These are the families of the sons of Asher according to those that,,"were numbered of them, twenty and two thousand and thirty."
26610,"Of the sons of Naphtali after their families: of Jahzeel, the",,"family of the Jahzeelites: of Guni, the family of the Gunites: of Jezer, the family of the Jezerites"
26611,"Of Jezer, the family of the Jezerites:",,"Of Jezer, the family of the Jezerites: they were the inhabitants of the land before the Israelites."
26612,These are the families of Naphtali according to their families: and they that,,were numbered of them were fifty and three thousand and four hundred.
26613,"These were the numbered of the children of Israel, six",,hundred thousand and three thousand and five hundred and fifty.
26614,Unto these the land shall be divided for,,inheritance according to the number of names.
26615,Notwithstanding the land shall be divided by lot: according to the,,number of names shall the inheritance be divided.
26616,According to the lot shall the possession,,be.
26617,"And unto Aaron was born Nadab,",,"and Abihu, Eleazar, and Ithamar."
26618,"And Nadab and Abihu died, when they",,"offered strange fire before the Lord, which he had not commanded them."
26619,"These are they that were numbered by Moses and Eleazar the priest, who numbered",,the children of Israel in the plains of Moab by Jordan near Jericho.
26620,But among these there was not a man of them whom Moses and Aaron the,,priests did not know.
26621,"And they stood before Moses, and before Eleazar the priest, and before the princes",,and before all the congregation at the door of the tabernacle of the congregation.
26622,And Moses brought their,,offerings before the Lord.
26623,"And thou shalt speak unto the children of Israel, saying, If a man die, and",,"have no son, then ye shall cause his inheritance to pass unto his daughter."
26624,"And if he have no daughter, then ye",,shall give his inheritance unto his brother.
26625,"And if he have no brethren, then ye",,shall give his inheritance unto his father's brother.
26626,"And the LORD said unto Moses, Get thee up into this mount Abarim,",,and see the land which I have given unto the children of Israel.
26627,"And when thou hast seen it, thou also shalt be",, Converted.
26628,And Moses spake unto,,"the people, saying, Sanctify yourselves to day and to morrow, and come up in the morning unto the LORD."
26629,"Let the LORD, the God of the spirits of",,"all flesh, appoint a man over the congregation."
26630,"And the LORD said unto Moses, Take thee Joshua the son of Nun,",,"a man in whom is the spirit, and lay thine hand upon him;"
26631,"And set him before Eleazar the priest, and before all",,the congregation.
26632,"And thou shalt put some of thine honor upon him, that",,all the people may be afraid.
26633,"And Moses did as the LORD commanded him: and he took Joshua,",,"and set him before Eleazar the priest, and before all the congregation."
26634,"And he laid his hands upon him, and gave him a",,blessing.
26635,"The one lamb shalt thou offer in the morning,",,and the other lamb shalt thou offer at even.
26636,And a tenth part of an ephah of flour for a meat,,"offering, mixed with a fourth of a hin of oil."
26637,"It is a continual burnt offering, which was ordained in mount Sinai",,"for a sweet savor, a fire offering unto the Lord."
26638,"This is the burnt offering of every sabbath, beside",,the continual burnt offering and its drink offering.
26639,And in the beginnings of your months ye shall offer a burnt offering unto the,,the LORD.
26640,And one kid of the goats for a sin offering unto the LORD,,And one kid of the goats for a sin offering unto the LORD shall be offered.
26641,And in the fourteenth day of the first,,"month, between the two evenings, they shall keep it; according to all the rites thereof, and according to all the ceremonies thereof, shall ye keep"
26642,And in the fifteenth day of this month is,,the Feast of Unleavened Bread to the Lord.
26643,In the first day shall be an holy convocation;,,ye shall do no servile work therein.
26644,And their meat offering shall be of flour mingled with oil: three tenth deals,,"for each bullock, two tenth deals for each ram, and a tenth deal for each lamb."
26645,A several tenth deal shalt thou offer,,unto the Lord thy God.
26646,"And one goat for a sin offering,",,to make atonement for you.
26647,Ye shall offer these beside the burnt offering in,,the morning; it is a continual burnt offering.
26648,And on the seventh day ye shall have an,,holy convocation; ye shall do no servile work therein.
26649,But ye shall offer the burnt offering for a sweet savor unto the,,LORD.
26650,"And their meat offering of flour mingled with oil, three tenth",,"deals for a bullock, two tenth deals for a ram, and a tenth deal for every lamb, throughout the flock, for every sacrifice of"
26651,A several tenth deal unto one,,A several tenth deal unto one means a portion or share of something is allocated to an individual.
26652,"And one kid of the goats,",,"and one kid of the goats, you shall take for a sin offering."
26653,"Ye shall offer them beside the continual burnt offering, and his meat",,"offering, with their drink offerings, for a sweet savour, a sacrifice made by fire unto the LORD."
26654,And ye shall offer a burnt offering for a sweet savor unto the LORD;,,"two young bullocks, one ram, and seven lambs of the first year without blemish."
26655,"And their meat offering shall be of flour mingled with oil, three",,"tenth deals for a bullock, and two tenth deals for a ram."
26656,And one tenth deal for one,,And one tenth deal for one tenth.
26657,And one kid of the goats for a,,sin offering.
26658,And ye shall have on the tenth day of this seventh month an holy,,convocation.
26659,A several tenth deal for one,,A several tenths deal for one
26660,"One kid of the goats for a sin offering; beside the sin offering of atonement,",,"the burnt offering of the new moon, and the meat offering thereof, and the drink offering thereof, according to their manner, for a sweet savour"
26661,And a several tenth deal to,,And a several tenth deal to seal the agreement.
26662,And one kid of the goats for a sin offering; beside,,"the continual burnt offering, and his drink offering."
26663,"And on the second day ye shall offer twelve young bullocks,",,"two rams, and fourteen lambs of the first year without blemish."
26664,"And their meat offering and their drink offerings for the bullocks, for the rams,",,"and for the lambs, shall be according to their number, as is fitting for each offering."
26665,And one kid of the goats for a sin offering; beside the,,"continual burnt offering, and his drink offering."
26666,"And on the third day eleven bullocks, two rams,",,and fourteen lambs without blemish were offered.
26667,And one goat for a sin offering; beside the continual,,"burnt offering, and the drink offering thereof."
26668,"And on the fourth day ten bullocks, two rams,",,and fourteen male lambs without blemish were offered.
26669,"Their meat offering and their drink offerings for the bullocks, for the rams,",,"and for the lambs, shall be according to their number, as the LORD hath commanded."
26670,"And on the fifth day nine bullocks, two rams,",,and fourteen lambs without blemish were offered.
26671,"And on the sixth day eight bullocks, two rams,",,and fourteen lambs without blemish were offered.
26672,"And on the seventh day seven bullocks, two rams,",,and fourteen lambs of the first year without blemish shall be offered.
26673,On the eighth day ye shall have a solemn,,assembly.
26674,"Their meat offering and their drink offerings for the bullock, for the ram,",,"and for the lambs, according to their number, shall they make."
26675,And Moses told the children of Israel according,,to all that the LORD had commanded him.
26676,And Moses spake unto the heads of the tribes concerning the children,,"of Israel, saying, This is the thing which the LORD hath commanded."
26677,"If a woman also vow a vow unto the LORD, and bind",,"herself by an obligation, being in her father's house in her youth;"
26678,"And if she had at all an husband, when she vowed, or",,"spoke ought out of her lips, wherewith she bound her soul;"
26679,"But every vow of a widow, and of her that is",,"divorced, wherewith they have bound their souls, shall stand against her."
26680,"And if she vowed in her husband's house, or",,"in her father's house while she was a young woman,"
26681,"Every vow, and every binding oath to afflict the soul, her",,"Every vow, and every binding oath to afflict the soul, her fasts and penances, she kept with rigorous devotion."
26682,But if he shall any ways make them void after that,,", it shall be no sin in her."
26683,"These are the statutes, which the LORD commanded Moses, between a man and his wife,",,"and between a father and his daughter, while she is a young woman still in her father's house."
26684,Avenge the children of Israel of the Midianites:,,afterward you shall be gathered to your people.
26685,"And Moses spake unto the people, saying, Arm some of yourselves unto the war,",,"and go over before the LORD against Midian, to take vengeance of the Midianites for the LORD."
26686,"Of every tribe a thousand, throughout all the tribes",,"Of every tribe a thousand, throughout all the tribes, they were numbered."
26687,"So there were delivered out of the thousands of Israel,",,"twelve thousand, according to the number of the tribes of Israel."
26688,"And they warred against the Midianites, as the LORD",,"commanded Moses, and slew all the males."
26689,And they burnt all their cities wherein they,,dwelt.
26690,"And they took all the spoil, and all",,"the silver, and the gold, and the garments, and the precious stones, and all that was found in the house, and they brought them to"
26691,"And Moses, and Eleazar the priest, and all the princes of",,"the congregation, went forth to meet them outside the camp."
26692,"And Moses was wroth with the officers of the host, with the",,"captains over thousands, and captains over hundreds."
26693,"And Moses said unto them, Have",,"no fear, stand still, and see the salvation of the LORD, which he will show to you today."
26694,"Now therefore kill every male among the little ones, and kill",,every woman that hath known man by lying with him.
26695,"But all the women children, that have not known a",,"man by lying with him, keep alive for yourselves."
26696,"And purify all your raiment, and all that is made of skins,",,"and all work of goats' hair, and all things made of wood."
26697,And Eleazar the priest said unto the men of war which went to the,,"battle, ""The gold, and the silver, the brass, the iron, the tin, and the lead,"""
26698,"Only the gold, and the silver, the brass,",,"and the iron, the wood, and the stone."
26699,"And ye shall wash your clothes on the seventh day, and ye",,shall be clean.
26700,"Take the sum of the prey that was taken, both of man and of",,beast.
26701,And divide the prey into two parts; between them that took the war,,And divide the prey into two parts; between them that took the war and them that tarried by the stuff.
26702,"Take it of their half, and give it unto Eleazar",,"Take it from their half, and give it unto Eleazar."
26703,And Moses and Eleazar the priest,,"took the censers of those who had sinned against themselves in the fire, and they hammered them out as a covering for the altar."
26704,"And the booty, being the rest of the prey which the men of war",,"had taken, was divided among all the people, according to the number of their families."
26705,"And thirty and two thousand persons in all, of women",,and children.
26706,"And the half, which was the portion of them that went out to war, was",,"20,800."
26707,And the LORD's tribute of the sheep,,"shall be two hundred from the flock, from the best thereof."
26708,And the beeves were thirty and six thousand; of,,the sheep seventy thousand.
26709,And the asses were thirty thousand and five hundred;,,and the camels twelve thousand.
26710,And the persons were sixteen thousand; of which,,And the persons were sixteen thousand; of which six thousand were armed with slings and darts.
26711,"And Moses gave the tribute, which was the LORD's heave",,"offering, unto Eleazar the priest, as the LORD commanded Moses."
26712,"And of the children of Israel's half, which",,"was given to them by Moses in the plains of Moab, were thirty and two thousand."
26713,(Now the half that pertained unto the congregation was three hundred,,"and seventy-five thousand sheep and goats, and forty-five thousand camels, and six thousand seven hundred and fifty asses, and thirty-two thousand two hundred"
26714,And thirty thousand asses,,grazed upon the hills.
26715,"And the officers which were over thousands of the host, the",,"captains of hundreds, came near unto Moses."
26716,"And they said unto Moses, Thy servants have taken the sum of the men of",,"war, and there are none missing."
26717,And Moses and Eleazar the priest took the,,"gold from them, even the weight of a thousand talents."
26718,(For the men of war had,,fallen in battle.)
26719,"The children of Gad and the children of Reuben came and spake unto Moses,",,"and said, ""The land which the LORD smote before the congregation of Israel, it is a land for cattle, and thy servants have cattle."""
26720,"Ataroth, and Dibon, and Jazer, and Nimrah, and Heshbon,",,"and Elealeh, and Seboim, and Beon, and Baal-meon, and Kiriathaim."
26721,Even the country which the LORD smote before the congregation of,,"Israel, shall be a possession for them."
26722,"Wherefore, said they, if we have found grace in thy sight, let this land",,be given to us for a possession.
26723,And Moses said unto the children of Gad and to the children of,,"Reuben, Build you cities for your little ones, and folds for your sheep; and ye shall be guiltless."
26724,And wherefore discourage ye the heart of the children of Israel from,,going over into the land which the Lord hath given them?
26725,"Thus did your fathers, when I sent",,"them to testify against you, says the LORD."
26726,And the LORD's anger was kindled the,,more.
26727,"Save Caleb the son of Jephunneh the Kenezite, and Joshua the",,son of Nun.
26728,"And, behold, ye are risen up in your fathers' stead, an increase of",,sin to augment the fierce anger of the LORD toward Israel.
26729,"For if ye turn away from after him, he will yet again",,leave you in trouble.
26730,"And they came near unto him, and said, We will build",,"a house for our God, a place for us to dwell, and a sanctuary for His name."
26731,"We will not return unto our houses, until the",,battle is won.
26732,"For we will not inherit with them on yonder side Jordan, or forward;",,"but we shall meet them in the air, and so shall we ever be with the Lord."
26733,"And Moses said unto them, If ye will do this thing,",,"if ye will obey my voice indeed, and keep the covenant of the LORD your God, then ye shall be a peculiar treasure unto me above all people"
26734,And will go all of you armed over Jordan before the,,children of Israel.
26735,"But if ye will not do so, behold, ye have sinned against",,the Lord.
26736,"Build you cities for your little ones, and folds for your",,sheep.
26737,And the children of Gad and the children of Reuben spake,,"unto Moses, saying, ""The land which the LORD smote before the congregation of Israel, it is a land for cattle, and thy servants have"
26738,"Our little ones, our wives, our flocks, and all our",,possessions.
26739,"But thy servants will pass over, every man armed for",,war.
26740,"So concerning them Moses commanded Eleazar the priest, and Joshua the son of",,"Nun, and the chief fathers of the tribes of the children of Israel:"
26741,"But if they will not pass over with you armed, they",,shall be your servants to hew wood and draw water.
26742,"And the children of Gad and the children of Reuben answered, saying,",,"""What the LORD hath said unto thy servants, so will we do."""
26743,"We will pass over armed before the LORD into the land of Canaan,",,"to drive out all the inhabitants of the land from before us, as the LORD has commanded."
26744,And the children of Gad built,,Ramoth in Gilead.
26745,"And Atroth, Shophan, and",,Kemuel.
26746,"And Bethnimrah, and Bethharan, fenced",,cities.
26747,And the children of Reuben built,,"Heshbon, and Elealeh, and Kiriathaim,"
26748,"And Nebo, and Baalmeon, (their names being changed,) and Shibmah:",,"and they gave other names to these cities, namely, Beth-haram, Beth-nimrah, and Kirjathaim."
26749,"And the children of Machir the son of Manasseh went to Gilead,",,"and took it, and dispossessed the Amorites who were in it."
26750,And Moses gave Gilead unto Machir the,,"son of Manasseh, and he dwelt therein."
26751,And Jair the son of Manasseh went and took,,"the towns of Gilead and Og the king of Bashan, and all the sixty cities thereof."
26752,"And Nobah went and took Kenath, and the villages",,"thereof, and called it Nobah, after his own name."
26753,"These are the journeys of the children of Israel, which went forth out of",,the land of Egypt.
26754,And Moses wrote their goings out according to their journeys by the commandment,,of the LORD.
26755,"For the Egyptians buried all their firstborn, which the LORD had",,struck with death.
26756,And the children of Israel removed,,from Rameses to Succoth.
26757,"And they departed from Succoth, and pitched in Etham,",,at the edge of the wilderness.
26758,"And they removed from Etham, and turned again unto Pihahiroth,",,which is before Baalzephon: and they pitched before Migdol.
26759,"And they removed from Marah, and came unto Elim: and in Elim were twelve",,"And they removed from Marah, and came unto Elim: and in Elim were twelve wells of water, and threescore and ten palm trees:"
26760,"And they removed from Elim, and",,came to the Red Sea.
26761,"And they removed from the Red sea,",,and journeyed into the wilderness.
26762,And they took their journey out of the,,"city gates, heading towards the vast, unknown wilderness."
26763,"And they departed from Dophkah,",,and came to Alush.
26764,"And they removed from Alush, and encamped at Rephidim,",,where there was no water for the people to drink.
26765,"And they departed from Rephidim, and",,came to the wilderness of Sinai.
26766,And they removed from the desert,,"and they removed from the desert, traveling towards the oasis in the distance."
26767,"And they departed from Kibrothhattaavah,",,and came to Hazeroth; and they abode at Hazeroth.
26768,"And they departed from Hazeroth,",,and the children of Israel journeyed according to the commandment of the Lord.
26769,"And they departed from Rithmah,",,and came to Rimmon-perez.
26770,"And they departed from Rimmonparez,",,and pitched in Libnah.
26771,"And they removed from Libnah,",,and came to Ethkazin.
26772,"And they journeyed from Rissah,",,and came to Kadesh.
26773,"And they went from Kehelathah,",,and came to Mount Shepher.
26774,And they removed from mount,,And they removed from Mount Sinai.
26775,"And they removed from Haradah,",,the ancient artifacts that were hidden in the depths of the forgotten temple.
26776,"And they removed from Makheloth,",,and encamped at Taanath-shiloh.
26777,"And they departed from Tahath,",,"and came to Etham, which is at the edge of the wilderness."
26778,"And they removed from Tarah,",,and came to the land of Canaan.
26779,"And they went from Mithcah,",,"and came to Jorah, and from there to Lodebar."
26780,"And they departed from Hashmonah,",,and came to Moseroth.
26781,"And they departed from Moseroth,",,and came to Bene-jaakan.
26782,"And they removed from Benejaakan,",,and encamped at Moserah.
26783,"And they went from Horhagidgad,",,and they came to Mithcah.
26784,"And they removed from Jotbathah,",,and came to Almon-diblathaim.
26785,"And they departed from Ebronah,",,and came to Marah.
26786,"And they removed from Eziongaber, and pitched in",,the wilderness of Zin.
26787,"And they removed from Kadesh, and pitched in mount",,Hor.
26788,And Aaron was an hundred and twenty and three,,years old when he died.
26789,"And king Arad the Canaanite, which dwelt in the south in the",,"land of Edom, heard tell that Israel was come by the way of the spies:"
26790,And they departed from mount,,Hor.
26791,"And they departed from Zalmonah,",,and came to Punon.
26792,"And they departed from Punon,",,and encamped in Oboth.
26793,"And they departed from Oboth, and pitched",,in Ije-abarim.
26794,"And they departed from Iim,",,and camped in the wilderness of Sinai.
26795,"And they removed from Dibongad,",,and they came to Kiriath-jearim.
26796,"And they removed from Almondiblathaim, and pitched",,in Dibongad.
26797,"And they departed from the mountains of Abarim, and pitched",,in the plains of Moab by Jordan near Jericho.
26798,"And they pitched by Jordan, from Bethjesimoth even",,unto Abelshittim in the wilderness.
26799,And the LORD spake unto Moses in the,,"wilderness of Sinai, in the tabernacle of the congregation, saying,"
26800,"Speak unto the children of Israel, and say unto them, When",,"ye come into the land which I give you, then shall the land keep a sabbath unto the LORD."
26801,"And ye shall dispossess the inhabitants of the land, and dwell",,therein.
26802,"Moreover it shall come to pass, that I shall do",,what is right in my own eyes.
26803,And the border shall fetch a compass from Azmon unto the river of,,"Egypt, and the goings out of it shall be at the sea."
26804,"And as for the western border, ye shall even have the",,great river Euphrates.
26805,And this shall be your north border: from the great,,sea you shall mark out for you Mount Hor.
26806,From mount Hor ye shall point out your border unto the entrance of,,Hamath.
26807,"And the border shall go on to Ziphron, and the goings out",,of it shall be at Hazar-enan: this shall be your north border.
26808,And ye shall point out your,,"boundaries, and your cities shall be according to your tribes."
26809,The two tribes and the half tribe have received their inheritance,,"beyond the Jordan, toward the sunrise."
26810,These are the names of the men which shall divide the land,,"Caleb, Joshua, Eleazar, and the tribal leaders."
26811,And ye shall take one prince of every,,tribe.
26812,And the names of the men are these: Of,,"the tribe of Reuben, Elizur and Shelumiel; of the tribe of Simeon, Shamua and Mishael; of the"
26813,And of the tribe of the children,,"of Israel, there were twelve thousand sealed."
26814,And the prince of the tribe of the,,"And the prince of the tribe of the Reubenites was Shelumiel, the son of Zurishaddai."
26815,"The prince of the children of Joseph, for the tribe",,"of Manasseh, shall be Abdiel the son of Hur."
26816,These are they whom the LORD commanded to divide the inheritance,,for the children of Israel in the land.
26817,And the cities shall they have to dwell in; and the suburbs of them,,"shall be for their cattle, and for their goods, and for all their beasts."
26818,"And the suburbs of the cities, which ye shall give unto the Levites, shall",,reach to the fields of the suburbs thereof.
26819,So all the cities which ye shall give to the Levites shall,,"be six cities of refuge, besides the forty-two cities."
26820,Then ye shall appoint you cities to be cities of refuge for you;,,then the slayer that killeth any person unawares and through error shall flee thither.
26821,And they shall be unto you cities for refuge from the avenger; that,,"the manslayer die not, until he stand before the congregation in judgment."
26822,And of these cities which ye shall give,,unto the Levites shall be six cities of refuge.
26823,"Ye shall give three cities on this side Jordan, and three cities shall",,"ye give in the land of Canaan, to be cities of refuge."
26824,"And if he smite him with an instrument of iron, so that he",,"die, he is a murderer."
26825,"And if he smite him with throwing a stone, wherewith he may die, and",,"he die, then the smiter shall surely be put to death; he is a murderer."
26826,"Or if he smite him with an hand weapon of wood, wherewith he may die,",,"and he die, then the smiter shall surely be put to death: he is a murderer."
26827,The revenger of blood himself shall slay the murderer:,,"when he meeteth him, he shall slay him."
26828,"But if he thrust him of hatred, or hurl",,"at him a stone in his hand, so that he die, he is a murderer."
26829,"But if he thrust him suddenly without enmity, or have",,"cast something on him without lying in wait, or with a stone wherewith a man may die, without seeing him, so that he die;"
26830,"Or with any stone, wherewith a man may die, seeing him not, and cast it",,"upon him that he die, and flee into one of these cities."
26831,Then the congregation shall judge between the slayer and,,the avenger of blood.
26832,But if the slayer shall at any time come without the,,"bounds of the city of refuge, whither he was fled,"
26833,So these things shall be for a statute of judgment,,unto you throughout your generations in all your dwellings.
26834,"Whoso killeth any person, the murderer shall be put to death by the mouth of",,witnesses.
26835,"Moreover ye shall take no satisfaction for the life of a murderer, which",,is guilty of death: for he shall surely be put to death.
26836,"Defile not therefore the land which ye shall inhabit, wherein I",,dwell: for I the LORD dwell among the children of Israel.
26837,And Moses commanded the children of Israel according to the word of the,,Lord.
26838,Neither shall the inheritance remove from one tribe to another tribe; but every one of,,the children of Israel shall keep himself to the inheritance of the tribe of his fathers.
26839,"Even as the LORD commanded Moses,",,so did he do.
26840,"For Mahlah, Tirzah, and Hoglah, and Milcah, and Noah, the",,"daughters of Zelophehad, were given an inheritance among their brethren."
26841,And they were married into the families of the sons of Manasseh the son of,,Joseph.
26842,"These are the commandments and the judgments, which the LORD commanded by the hand of",,Moses to the children of Israel.
26843,(There are eleven days' journey from Horeb by,,the way of Mount Seir to Kadesh-barnea.
26844,"After he had slain Sihon the king of the Amorites, which dwelt in",,"Heshbon,"
26845,"On this side Jordan, in the land of",,the Amorites.
26846,"The LORD our God spake unto us in Horeb,",,"saying, Ye have dwelt long enough in this mount:"
26847,"And I spake unto you at that time, saying,",,I am not able to go up and down this great mountain.
26848,"The LORD your God hath multiplied you, and, behold, ye",,are this day as the stars of heaven for multitude.
26849,(The LORD God of your fathers make you a thousand times so many,,"as ye are, and bless you, as he hath promised you!)"
26850,How can I myself alone bear your,,burden?
26851,"Take you wise men, and understanding, and known among your",,"tribes, and I will make them rulers over you."
26852,"And ye answered me, and said, The thing which",,thou hast commanded us to do is good.
26853,And I commanded you at that time,,to do it.
26854,"And I said unto you, Ye are come unto the mountain of",,God.
26855,And the saying pleased me well: and I took,,the advice to heart.
26856,"And they turned and went up into the mountain, and",,came to the place which God had told them of.
26857,"Notwithstanding ye would not go up, but rebelled",,against the Lord your God.
26858,"Then I said unto you, Dread",,"not, for the LORD your God goes with you; he will fight for you against your enemies to give you victory."
26859,"The LORD your God which goeth before you, he shall fight for you,",,"according to all that he did for you in Egypt, and in the wilderness."
26860,Yet in this thing ye did,,not well.
26861,And the LORD heard the voice of your,,cry.
26862,Surely there shall not one of these men of this evil generation,,see the good land which I swore to give unto their fathers.
26863,Also the LORD was angry with me for your,,sake.
26864,"But Joshua the son of Nun, which standeth before thee, he shall go",,in and possess the land.
26865,"But as for you, turn you, and take your journey",,into the wilderness by the way of the Red Sea.
26866,And the LORD said unto,,"Moses, ""Go unto Pharaoh, for I have hardened his heart, and the heart of his servants, that I might show these my signs"
26867,"So I spake unto you; and ye would not hear, but rebelled against",,"the commandment of the LORD, and would not hearken unto his words."
26868,"And the Amorites, which dwelt in that mountain, came out against you, and",,"chased you, as bees do, and in your defeat, they smote you in Seir, even unto Hormah."
26869,And ye returned and wept before the LORD; but the LORD,,"would not hearken to your voice, nor give ear unto you."
26870,"So ye abode in Kadesh many days, according",,to the number of the days that ye abode there.
26871,"Then we turned, and took our journey into the wilderness by the way of the",,Red Sea.
26872,Ye have compassed this mountain,,long enough.
26873,"Ye shall buy meat of them for money, that ye may eat; and",,"ye shall also buy water of them for money, that ye may drink."
26874,"The Emims dwelt therein in times past, a people",,great and tall.
26875,"Which also were accounted giants, as the",,"Anakim, which were accounted giants, as the"
26876,"Now rise up, said I, and",,be not afraid.
26877,"For indeed the hand of the LORD was against them, to",,destroy them.
26878,"So it came to pass, when all the men of",,"war were dead, that Joshua took the place of Moses and led the Israelites into the Promised Land."
26879,That the LORD spake,,"unto Moses, saying,"
26880,"Thou art to pass over through Ar,",,the capital of Moab.
26881,(That also was accounted a land of giants: giants dwelt,,therein in olden times.)
26882,"A people great, and many, and tall, as the Anakims; but the LORD",,delivered them also into our hand.
26883,"And the Avims which dwelt in Hazerim, even unto Azzah, the Caphtorims, which",,"came out of Caphtor, destroyed them, and dwelt in their stead."
26884,And I sent messengers out of the wilderness of Kedemoth,,"to Sihon king of Heshbon, with words of peace, saying,"
26885,Let me pass through thy land: I will go along by the high,,way and will not turn aside into thy fields.
26886,"Thou shalt sell me meat for money, that I may eat; and give me water",,for I am thirsty.
26887,"And the LORD said unto me, Behold, I have begun to give Sihon and",,"his land before thee; begin to inherit, that thou mayest possess his land."
26888,"Then Sihon came out against us, he and",,"all his people, to battle at Jahaz."
26889,And the LORD our God delivered him before us; and,,"we saw it, and our hearts did melt."
26890,"And we took all his cities at that time, and utterly destroyed the men, and",,"the women, and the little ones, and left none to remain."
26891,"Only the cattle we took for a prey unto ourselves,",,and all the cities we burned with fire.
26892,"Then we turned, and went up the way to Bashan: and Og the king of",,"Bashan came out against us, he and all his people, to battle at Edrei."
26893,"So the LORD our God delivered into our hands Og also, the king of Bashan,",,"and all his people, and we smote him until none was left to him remaining."
26894,"All these cities were fenced with high walls, gates,",,and watchtowers.
26895,"And we utterly destroyed them, as we did unto Sihon king of",,Heshbon.
26896,"But all the cattle, and the spoil of the",,"cities, they took for a prey unto themselves."
26897,(Which Hermon the Sidonians call Sirion;,,and the Amorites call it Senir;)
26898,"All the cities of the plain, and all Gilead, and all Bashan,",,"unto the borders of Jazer, and unto the sea of Chinnereth,"
26899,Jair the son of Manasseh took all the country of Argob unto the coasts of,,Geshur and Maachath.
26900,"The plain also, and Jordan, and the coast thereof, from Chinnereth even unto",,"the salt sea, toward the going down of the sun."
26901,"But your wives, and your little ones, and your cattle, (for I know that",,you have much cattle) shall remain in the cities of Gilead.
26902,Ye shall not fear them: for the LORD,,"your God is with you, to fight for you against them."
26903,And I besought the LORD,,"at that time, saying,"
26904,"I pray thee, let me go over, and see the good",,"land beyond Jordan, that goodly mountain, and Lebanon."
26905,"But charge Joshua, and encourage him, and strengthen him: for he shall go over before",,"this people, and he shall cause them to inherit the land which thou shalt see."
26906,So we abode in the,,"village for a while, living off the land and the kindness of the locals."
26907,Your eyes have seen what the LORD did because of Baalpeor: for all the,,"men who followed Baalpeor, the LORD your God has destroyed them from among you."
26908,But ye that did cleave unto the LORD your,,"God, ye are all alive this day."
26909,"Behold, I have taught you statutes and judgments, even as the LORD my God commanded",,"me, that ye should do so in the land whither ye go to possess it."
