index,text,response,llama70b
25117,And Joshua discomfited Amalek and his people,,...with the edge of the sword. (Exodus 17:13)
25118,"And Moses built an altar, and",,he called it The-Lord-Is-My-Banner. (Exodus 17:15)
25119,"For he said, Because the LORD hath sworn that the",,...LORD will have war with Amalek from generation to generation. (Exodus 17:16)
25120,"Then Jethro, Moses' father in law, took Zipporah,",,"...Moses' wife, after he had sent her back, along with her two sons, of whom the name of one was Gershom ("
25121,And her two sons; of which the name of the one was Gershom;,,"for he said, I have been a stranger in a strange land: and the name of the other was Eliezer; for the God of my"
25122,"And the name of the other was Eliezer; for the God of my father,",,"...hath been mine help, and hath been with me in the way which I came."
25123,"And Jethro, Moses' father in law, came with his sons and his wife",,"...unto Moses into the wilderness, where he encamped at the mount of God: and he said unto Moses, I thy father in law Jeth"
25124,"And he said unto Moses, I thy father in law Jethro am",,come now to see thee.
25125,"And Moses went out to meet his father in law, and did obeisance, and kissed",,him; and they asked each other of their welfare; and they came into the tent. (Exodus 18:7)
25126,And Jethro rejoiced for all the goodness which the LORD had done to,,"Israel, in that he had delivered them out of the hand of the Egyptians (Exodus 18:9)."
25127,Now I know that the LORD is greater than all gods: for,,"""...in the thing wherein they dealt proudly he was above them."" - Exodus 18:11"
25128,"And it came to pass on the morrow, that Moses sat to judge the",,people: and the people stood by Moses from the morning unto the evening. (Exodus 18:13)
25129,"And Moses said unto his father in law, Because",,"...the people come unto me to inquire of God: When they have a matter, they come unto me; and I judge between one and another,"
25130,"When they have a matter, they come unto me; and I judge between one and",,"another, and I do make them know the statutes of God, and his laws."
25131,"And Moses' father in law said unto him,",,"""...The thing that thou doest is not good. Thou and the people that are with thee shall surely wear away, for this thing is too heavy"
25132,"And thou shalt teach them ordinances and laws, and shalt show them the",,"way wherein they must walk, and the work that they must do. (Exodus 18:20)"
25133,"If thou shalt do this thing, and God command thee so, then thou shalt be",,doing a thing that is in accordance with God's will.
25134,So Moses hearkened to the voice of his father,,...in-law (Exodus 18:24).
25135,"And Moses chose able men out of all Israel, and made them heads over the",,"people. (Exodus 18:25,  Numbers 11:16,  and Deuteronomy 1:15 in the Bible)"
25136,And they judged the people at all seasons: the hard causes,,"they brought unto Moses, but every small matter they judged themselves."
25137,And Moses let his father in law depart; and,,he went his way into his own land.
25138,"In the third month, when the children of Israel were gone forth out of",,"the land of Egypt, the same day came they into the wilderness of Sinai. (Exodus 19:1)"
25139,"For they were departed from Rephidim, and were come to the desert of Sinai,",,"and had pitched in the wilderness, and there Israel camped before the mount. (Exodus 19:2)"
25140,"Ye have seen what I did unto the Egyptians, and how",,"I bore you on eagles' wings, and brought you unto myself. (Exodus 19:4)"
25141,And ye shall be unto me a,,"...kingdom of priests, and an holy nation. (Exodus 19:6)"
25142,"And Moses came and called for the elders of the people, and",,"laid before their faces all these words which the Lord commanded him. (Exodus 19:7, Deuteronomy 5:22)"
25143,"And all the people answered together, and said, All",,that the Lord hath spoken we will do. (Exodus 19:8)
25144,"And the LORD said unto Moses, Go unto the people, and sanctify",,"them today and tomorrow, and let them wash their clothes, (Exodus 19:10)."
25145,And be ready against the third day: for the third day the LORD,,will come down in the sight of all the people upon mount Sinai. (Exodus 19:11)
25146,"And Moses went down from the mount unto the people,",,"""and the people saw him, and, behold, the skin of his face shone; and they were afraid to come nigh him."" ("
25147,"And he said unto the people, Be ready against",,"...the third day: come not at your wives. (Exodus 19:15, KJV)"
25148,And Moses brought forth the people out of the camp to meet,,"with God; and they stood at the nether part of the mount. (Exodus 19:17, KJV)"
25149,"And when the voice of the trumpet sounded long, and waxed louder",,"...and louder, Moses spake, and God answered him by a voice. (Exodus 19:19)"
25150,"And the LORD came down upon mount Sinai, on the top of the mount: and",,the LORD called Moses up to the top of the mount; and Moses went up.
25151,"And the LORD said unto Moses, Go down, charge the people, lest they",,"break through unto the LORD to gaze, and many of them perish. (Exodus 19:21)"
25152,"And let the priests also, which come near to the",,"Lord, sanctify themselves, lest the Lord break forth upon them. (Leviticus 10:3)"
25153,"And Moses said unto the LORD, The people cannot come up to mount Sinai:",,"for thou chargedst us, saying, Set bounds about the mount, and sanctify it."
25154,So Moses went down unto the,,people and spoke unto them.
25155,And God spake all,,"And God spake all these words, saying... (Exodus 20:1)"
25156,"I am the LORD thy God, which have brought thee out",,"...of the land of Egypt, out of the house of bondage. (Exodus 20:2, King James Version)"
25157,Thou shalt have no,,...other gods before Me. (This is the first of the Ten Commandments from the biblical book of Exodus 20:3 and Deuteronomy
25158,And showing mercy unto thousands of them,,"...that love me, and keep my commandments. (Exodus 20:6, and also in Deuteronomy 5:10)"
25159,Thou shalt not take the name of the LORD thy God in vain; for,,the LORD will not hold him guiltless that taketh his name in vain.
25160,"Remember the sabbath day,",,"""to keep it holy."" (Exodus 20:8, Deuteronomy 5:12)"
25161,"Six days shalt thou labor,",,"and do all thy work, but the seventh day is the Sabbath of the Lord thy God: in it thou shalt not do any work, thou,"
25162,Honor thy father and thy mother: that thy days may be,,"long upon the land which the Lord thy God giveth thee. (Exodus 20:12, Deuteronomy 5:16)"
25163,Thou shalt not bear false,,witness against thy neighbour.
25164,"And they said unto Moses, Speak thou with us, and we will",,"""...hear: but let not God speak with us, lest we die."" (Exodus 20:19)"
25165,"And Moses said unto the people, Fear not: for God is come to prove",,"...you, and that his fear may be before your faces, that ye sin not. (Exodus 20:20)"
25166,"And the people stood afar off, and Moses drew",,...near to the thick darkness where God was. (Exodus 20:21)
25167,"And the LORD said unto Moses, Thus thou shalt say unto the children",,"And the LORD said unto Moses, Thus thou shalt say unto the children of Israel, The LORD God of your fathers, the God of Abraham, of"
25168,"Ye shall not make with me gods of silver,",,"""...neither shall ye make unto you gods of gold."" (Exodus 20:23, Bible)"
25169,Neither shalt thou go up by steps unto mine,,"altar, that thy nakedness be not discovered thereon."
25170,Now these are the judgments which,,"...thou shalt set before them. (Exodus 21:1, KJV)"
25171,"If thou buy an Hebrew servant, six years he shall serve:",,"...and in the seventh he shall go out free for nothing. (Exodus 21:2, Deuteronomy 15:12)"
25172,"If he came in by himself, he shall go out by himself:",,"...if he came in married, then his wife shall go out with him. (Exodus 21:3, Bible verse)"
25173,"And if the servant shall plainly say, I love my master,",,"...my wife, and my children; I will not go out free:"
25174,And if a man sell his daughter to be a,,"...maidservant, she shall not go out as the menservants do. (Exodus 21:7, Bible)"
25175,"And if he have betrothed her unto his son, he",,"...shall deal with her after the manner of daughters. (Leviticus 22:11, Exodus 22:17 or possibly Deuter"
25176,"If he take him another wife; her food, her raiment,",,...and her conjugal rights he shall not diminish. (Exodus 21:10)
25177,"And if he do not these three unto her,",,"""...then shall he let her go free for nothing; he shall not sell her because he hath dealt deceitfully with her."" (Exodus 21"
25178,"He that smiteth a man, so that he",,"He that smiteth a man, so that he die, shall be surely put to death. (Exodus 21:12 and Levitic"
25179,"And if a man lie not in wait, but God deliver him into",,"...his hand, then I will appoint thee a place whither he shall flee. (Exodus 21:13)"
25180,"But if a man come presumptuously upon his neighbor, to slay him with",,"guile; thou shalt take him from mine altar, that he may die. (Exodus 21:14)"
25181,"And he that smiteth his father, or his",,"And he that smiteth his father, or his mother, shall be surely put to death. (Exodus 21:15)"
25182,"And he that stealeth a man, and selleth him, or if he",,"be found in his hand, he shall surely be put to death (Exodus 21:16, KJV)."
25183,"And he that curseth his father, or his",,"mother, shall surely be put to death. (Exodus 21:17, Leviticus 20:9, and Deuteronomy"
25184,"And if men strive together, and one smite another with a stone,",,"or with his fist, and he die not, but keepeth his bed:  (Exodus 21:18, KJV)"
25185,"And if a man smite his servant, or his maid, with a",,"...rod, and he die under his hand; he shall be surely punished. (Exodus 21:20)"
25186,"Notwithstanding, if he continue a day or two, he",,"I'd be happy to complete the sentence for you. Unfortunately, I don't have enough context to give an accurate completion. However, if I had"
25187,"And if any mischief follow, then",,"...you shall give life for life, eye for eye, tooth for tooth, hand for hand, foot for foot, burning for burning, wound for"
25188,"Eye for eye, tooth for tooth,",,"""hand for hand, foot for foot."" This phrase is a quote from the Bible (Exodus 21:24, Leviticus 24"
25189,"Burning for burning, wound for",,"The complete sentence is: ""Burning for burning, wound for wound, stripe for stripe."" This quote is from Exodus 21:25 in the"
25190,"And if a man smite the eye of his servant, or the eye of his",,"...maid, that it perish; he shall let him go free for his eye's sake. (Exodus 21:26)"
25191,"And if he smite out his manservant's tooth, or his maidservant's",,...tooth; he shall let him go free for his tooth's sake. (Exodus 21:27)
25192,"If there be laid on him a sum of money, then he shall",,pay the money and the value of his daughter's dowry.
25193,"Whether he have gored a son, or have gored a daughter,",,"...according to the manner of the goring of the man, so shall it be done unto him. (Exodus 21:31)"
25194,If the ox shall push a manservant or a maidservant; he shall give,,"...unto their master thirty shekels of silver, and he shall be put to death. (Exodus 21:32)"
25195,"And if a man shall open a pit, or if a man shall dig",,"a pit, and not cover it, and an ox or an ass fall therein;  (Exodus 21:33)"
25196,"The owner of the pit shall make it good, and give money",,"...to the owner of them; and the dead beast shall be his. (Exodus 21:34, also known as the law of the"
25197,"If a man shall steal an ox, or a sheep, and kill it, or sell",,"...it, he shall restore five oxen for an ox, and four sheep for a sheep. (Exodus 22:1, Bible)"
25198,"If a thief be found breaking up, and be smitten that",,"...he die, there shall no blood be shed for him. (This is a quote from Exodus 22:2 in the Bible.)"
25199,"If the theft be certainly found in his hand alive, whether",,"it be an ox, or an ass, or a sheep; he shall restore double. (Exodus 22:4, Bible)"
25200,"If the thief be not found, then the master of the house shall be brought",,"...unto the judges, to see whether he have put his hand to his neighbour's goods. (Exodus 22:8)"
25201,"And if it be stolen from him, he",,...shall make restitution for it.
25202,"If it be torn in pieces, then let him bring it for",,"...witness, and he shall not make good that which was torn. (Leviticus 5:16, Exodus 22:13"
25203,"And if a man borrow ought of his neighbor, and it be hurt, or",,"die, the owner thereof being not with it, he shall surely make it good. (Exodus 22:14)"
25204,"But if the owner thereof be with it, he shall not make it",,"""good: if it be hired, it came for its hire."""
25205,"And if a man entice a maid that is not betrothed, and",,"lie with her, he shall surely endow her to be his wife."
25206,"If her father utterly refuse to give her unto him,",,"he shall pay money according to the dowry of virgins. (Exodus 22:17, KJV)"
25207,Thou shalt not suffer,,"a witch to live. (This is from the King James Bible, Exodus 22:18.)"
25208,Whosoever lieth with a beast shall,,"...surely be put to death; their blood shall be upon them. (Leviticus 20:15, KJV)"
25209,"He that sacrificeth unto any god, save unto",,"the Lord only, he shall be utterly destroyed. (Exodus 22:20)"
25210,"Thou shalt neither vex a stranger, nor oppress him:",,"""...for ye were strangers in the land of Egypt."" (Exodus 22:21)"
25211,Ye shall not afflict any,,"widow, or fatherless child. (This is a quote from the Bible, specifically Exodus 22:22.)"
25212,"If thou afflict them in any wise, and they cry",,"...at all unto me, I will surely hear their cry. (Exodus 22:23)"
25213,"And my wrath shall wax hot, and I will kill you with",,"the sword; and your wives shall be widows, and your children fatherless. (This is from the Bible, Exodus 22:24 and"
25214,"If thou lend money to any of my people that is poor by thee, thou",,"...shalt not be to him as an usurer, neither shalt thou lay upon him usury. (Exodus 22:25, K"
25215,"If thou at all take thy neighbor's raiment to pledge, thou",,"...shalt deliver it unto him by that the sun goeth down. (Exodus 22:26, Deuteronomy 24:13"
25216,"Thou shalt not revile the gods, nor",,"Thou shalt not revile the gods, nor curse the ruler of thy people.

(This is from the biblical commandments, specifically Exodus 22:"
25217,"Thou shalt not delay to offer the first of thy ripe fruits, and",,"of thy liquors, and of thine oil, unto the Lord thy God."
25218,"Likewise shalt thou do with thine oxen, and with thy sheep: seven days it",,"...shall be with his dam; on the eighth day thou shalt give it me. (Exodus 22:30, Leviticus 22"
25219,And ye shall be holy men unto me: neither shall ye eat any flesh that,,...is torn of beasts in the field; ye shall cast it to the dogs. (Exodus 22:31)
25220,Thou shalt not raise a false report: put not thine,,hand with the wicked to be an unrighteous witness.
25221,Thou shalt not follow a multitude to do evil; neither shalt thou,,...speak in a cause to decline after many to wrest judgment.
25222,Neither shalt thou countenance a,,false witness; thou shalt not follow a multitude to do evil;
25223,If thou meet thine enemy's ox or his ass going,,"...astray, thou shalt surely bring it back to him again. (Exodus 23:4, Bible)"
25224,If thou see the ass of him that hateth thee lying under his,,"...burden, and wouldest forbear to help him, thou shalt surely help with him (or help him as well). (Exodus"
25225,Thou shalt not wrest the judgment,,"""of the poor nor favour the person of the mighty; thou shalt judge thy neighbour in righteousness."""
25226,Keep thee far from a false matter; and the innocent and,,...the righteous slay thou not: for I will not justify the wicked.
25227,And thou shalt take no gift: for the gift blindeth,,"...the wise, and perverteth the words of the righteous. (Exodus 23:8)"
25228,Also thou shalt not oppress a stranger: for ye know the heart,,"...of a stranger, seeing ye were strangers in the land of Egypt. (Exodus 23:9, KJV)"
25229,"And six years thou shalt sow thy land,",,"And six years thou shalt sow thy land, and shalt gather in the fruits thereof: But in the seventh year thou shalt let it rest and lie still"
25230,Three times thou shalt keep a,,"""Three times thou shalt keep a festival unto me in the year."""
25231,Three items in the year all thy,,...garments be new.
25232,Thou shalt not offer the blood of my sacrifice with leavened bread;,,"""neither shall the fat of my sacrifice remain until the morning."" (Exodus 23:18, Exodus 34:25)"
25233,The first of the firstfruits of thy land thou shalt,,bring into the house of the Lord thy God. (Deuteronomy 26:2)
25234,"Behold, I send an Angel before thee, to keep thee in the",,"way, and to bring thee into the place which I have prepared."
25235,"Beware of him, and obey his voice, provoke him not; for he",,...will not pardon your transgressions: for my name is in him. (Exodus 23:21)
25236,"But if thou shalt indeed obey his voice, and do all that I speak; then",,"I will be an enemy unto thine enemies, and an adversary unto thine adversaries. (Exodus 23:22)"
25237,"Thou shalt not bow down to their gods, nor serve them, nor do after",,"...their works, nor worship their gods: but thou shalt utterly overthrow them, and quite break down their images."
25238,"And ye shall serve the LORD your God, and he shall bless thy bread,",,...and thy water; and I will take sickness away from the midst of thee. (Exodus 23:25)
25239,"There shall nothing cast their young, nor be barren, in",,...the land; the number of your days I will fulfill.
25240,"I will send my fear before thee, and will destroy all the people to whom",,"...thou shalt come, and I will make all thine enemies turn their backs unto thee. (Exodus 23:27, also found"
25241,"And I will send hornets before thee, which shall drive out",,"the Hivite, the Canaanite, and the Hittite from before thee. (Exodus 23:28, Bible)"
25242,I will not drive them out from before thee in one year; lest,,"the land become desolate, and the beasts of the field multiply against thee. (Exodus 23:29)"
25243,By little and little I will drive them out from,,"before thee. 

This appears to be a quote from the Bible (Exodus 23:30 and Deuteronomy 7:22), where"
25244,Thou shalt make no covenant with,,"...them, nor with their gods. (Exodus 23:32, Deuteronomy 7:2)"
25245,"They shall not dwell in thy land, lest they make thee sin against me:",,"for if thou serve their gods, it will surely be a snare unto thee. (Exodus 23:33, KJV)"
25246,"And he said unto Moses, Come up unto the LORD, thou, and Aaron, Nadab,",,"and Abihu, and seventy of the elders of Israel; and worship ye afar off. (Exodus 24:1)"
25247,And Moses alone shall come near the LORD: but they shall,,not come near; neither shall the people go up with him. (Exodus 24:2)
25248,"And he sent young men of the children of Israel, which offered",,"burnt offerings, and sacrificed peace offerings of oxen unto the Lord. (Exodus 24:5 KJV)"
25249,"And Moses took half of the blood, and put it in",,basins; and half of the blood he sprinkled on the altar. (Exodus 24:6)
25250,"And Moses took the blood, and sprinkled it on the people, and said, Behold the",,"blood of the covenant, which the Lord hath made with you concerning all these words. (Exodus 24:8)"
25251,"Then went up Moses, and Aaron, Nadab, and",,"Abihu, and seventy of the elders of Israel."
25252,And upon the nobles of the children of Israel he laid not,,"his hand: also they saw God, and did eat and drink. (Exodus 24:11)"
25253,"And Moses rose up, and his minister Joshua: and",,"Moses went up to the mountain of God, and his minister Joshua, he did not go back down to the camp, but Joshua stayed and waited"
25254,"And Moses went up into the mount,",,...and a cloud covered the mount. (Exodus 24:15)
25255,And the sight of the glory of the LORD was like devouring fire on,,the top of the mount in the eyes of the children of Israel. (Exodus 24:17)
25256,"And Moses went into the midst of the cloud, and gat him up into",,"the mount: and it came to pass, as Moses entered into the cloud, the cloud covered the mount."
25257,"Speak unto the children of Israel, that they bring me an offering: of every",,...man that giveth it willingly with his heart ye shall take my offering. (Exodus 25:2)
25258,And this is the offering which ye shall,,And this is the offering which ye shall offer; the sixth part of an ephah of an hundredth part of an homer of barley.
25259,"And blue, and purple, and scarlet,",,"'and fine linen, and crimson, and precious things, after the manner of the merchants of Tyre.'"
25260,"And rams' skins dyed red, and",,"badgers' skins, and acacia wood. (Exodus 25:5, 35:7,23, 36:19)"
25261,"Oil for the light, spices for",,the sacrifice.
25262,"Onyx stones, and stones to be set",,"in a ring, were sometimes cut as cameos or intaglios, however, onyx is often cut as a cabochon to bring out"
25263,And let them make me a sanctuary;,,"...that I may dwell among them. (Exodus 25:8, KJV)"
25264,"According to all that I show thee, after the pattern of the tabernacle, and",,"the pattern of all the instruments thereof, even so shall ye make it. (Exodus 25:9)"
25265,"And thou shalt overlay it with pure gold, within and without shalt thou",,"overlay it, and shalt make upon it a crown of gold round about."
25266,And thou shalt make staves of shittim,,"...wood, and overlay them with gold. (Exodus 25:13)"
25267,And thou shalt put the staves into the rings by the sides,,"...of the ark, that the ark may be borne with them. (Exodus 25:14, KJV)"
25268,The staves shall be in the rings of the,,"altar, that the altar may be carried with them."
25269,And thou shalt put into the ark,,the testimony that I shall give thee.
25270,And thou shalt make a mercy seat of pure gold: two cubits and a half,,"shall be the length thereof, and a cubit and a half the breadth thereof. (Exodus 25:17, KJV)"
25271,"And thou shalt make two cherubim of gold, of beaten work shalt",,"...thou make them, on the two ends of the mercy seat."
25272,And thou shalt put the mercy seat above upon the ark; and in,,the ark thou shalt put the testimony that I shall give thee.
25273,"And thou shalt overlay it with pure gold, and",,make thereto a crown of gold round about.
25274,"And thou shalt make unto it a border of an hand breadth round about,",,"...and thou shalt make a golden crown to the border thereof round about. (Exodus 25:25, Exodus 37:12, and"
25275,"And thou shalt make for it four rings of gold, and put the",,"rings in the four corners thereof; and two rings shall be in the one side of it, and two rings in the other side of it."
25276,Over against the border shall the rings be for,,places for the staves to bear the table. (Exodus 25:27)
25277,"And thou shalt make the staves of shittim wood, and overlay",,"...them with gold, that the table may be borne with them. (Exodus 25:13, KJV)"
25278,"And thou shalt make the dishes thereof, and spoons thereof, and covers thereof,",,and bowls thereof.
25279,And thou shalt set upon the,,"...table of the showbread twelve cakes of unleavened bread, two tenth deals shall be in one cake. (Leviticus 24"
25280,And in the candlesticks shall be four bowls made,,"...like unto almonds, with their knops and their flowers. (Exodus 25:33)"
25281,Their knops and their branches shall be of the same:,,"""...it shall be one beaten work of pure gold."" (Exodus 25:18)"
25282,And thou shalt make the seven lamps thereof: and they shall light,,"the lamps thereof; that they may give light over against it. (Exodus 25:37, KJV)"
25283,"And the tongs thereof, and the snuffdishes",,"And the snuffers, and the basons, and the spoons, and the censers of pure gold; (Exodus 25:"
25284,Of a talent of pure gold shall,,"...be five thousand shekels, and of silver it shall be fifty shekels, according to the shekel of the sanctuary."
25285,And look that thou make them after their,,"pattern, which was shewed thee in the mount. (Exodus 25:40, the Bible)"
25286,"Moreover thou shalt make the tabernacle with ten curtains of fine twined linen, and",,"blue, and purple, and scarlet: with cherubims of cunning work shalt thou make them. (Exodus 26:1)"
25287,"The length of one curtain shall be eight and twenty cubits, and the breadth of",,...one curtain four cubits: and all the curtains shall have one measure.
25288,The five curtains shall be coupled together one to another;,,and the other five curtains shall be coupled one to another. (Exodus 26:3)
25289,"And thou shalt make fifty taches of gold, and couple the",,curtains together with the taches: and it shall be one tabernacle. (Exodus 26:6)
25290,And thou shalt make curtains of goats' hair to be,,a covering upon the tabernacle: eleven curtains shalt thou make.
25291,"The length of one curtain shall be thirty cubits, and the breadth of one",,"The length of one curtain shall be thirty cubits, and the breadth of one curtain four cubits: the eleven curtains shall be all of one measure"
25292,"And thou shalt couple five curtains by themselves, and six curtains by themselves,",,"And thou shalt couple five curtains by themselves, and six curtains by themselves, and shalt double the sixth curtain in the forefront of the tabernacle."
25293,"And thou shalt make fifty taches of brass, and put the taches into",,"the rings, and couple the curtain together that it may be one."
25294,"And the remnant that remaineth of the curtains of the tent, the",,"half curtain that remaineth, shall hang over the backside of the tabernacle."
25295,And thou shalt make a covering for the tent of rams',,"...skins dyed red, and a covering of badgers' skins above that. (Exodus 26:14, 36:19)"
25296,And thou shalt make boards for the,,"tabernacle of acacia wood, standing up. (Exodus 26:15)"
25297,"Ten cubits shall be the length of a board, and a",,cubit and a half the breadth of one board.
25298,"Two tenons shall there be in one board, set in order one against",,another.
25299,And thou shalt make the boards for the,,"tabernacle. (This is from the Bible, specifically Exodus 26:15)"
25300,And for the second side of the tabernacle on,,"the north side, there shall be twenty boards,"
25301,And their forty sockets of silver; two sockets under,,"one board, five sockets under every board: thus were all the boards of the tabernacle coupled together."
25302,And for the sides of the tabernacle,,"you shall make the frames for the tabernacle of acacia wood, standing upright."
25303,And two boards shalt thou make for the,,"...doors of the gate; one board shalt thou make for one side of the gate, and another board shalt thou make for the other side of the"
25304,"And they shall be eight boards, and their sockets of silver, sixteen",,"sockets; two sockets under one board for his two tenons, and two sockets under another board for his two tenons."
25305,And thou shalt make bars of shittim wood; five for,,"the boards of one side of the tabernacle, and five bars for the boards of the other side of the tabernacle, and five bars"
25306,"And five bars for the boards of the other side of the tabernacle, and five",,bars for the boards of the side of the tabernacle westward.
25307,And the middle bar in the midst of,,"the rings shall be over them, as it was made; they shall serve as a place to put the poles, to carry the table."
25308,"And thou shalt overlay the boards with gold, and make their rings of gold",,for places for the bars: and thou shalt overlay the bars with gold.
25309,And thou shalt rear up the tabernacle according to the,,pattern which hath been shewed thee in the mount. (Exodus 25:40 in the King James Version of the Bible)
25310,"And thou shalt make a vail of blue, and purple, and scarlet, and",,"fine twined linen of cunning work, with cherubims theron."
25311,And thou shalt hang it upon four pillars of shittim wood overlaid with,,"gold. (Exodus 26:32, 37)"
25312,And thou shalt put the mercy seat upon the,,ark of the testimony. (Exodus 26:34)
25313,"And thou shalt make an hanging for the door of the tent, of",,"blue, and purple, and scarlet, and fine twined linen, wrought with needlework."
25314,"And thou shalt make an altar of shittim wood, five cubits long, and five cubits",,"... broad, and three cubits high."
25315,And thou shalt make the horns of it upon the four corners thereof: his,,'horns shall be of the same: and thou shalt overlay them with brass.' (Exodus 27:2)
25316,And thou shalt make for it a grate of network of brass; and upon,,the net shalt thou make four brasen rings in the four corners thereof.
25317,"And thou shalt put it under the compass of the altar beneath,",,"""...that the net may be even to the midst of the altar."" (Exodus 27:5)"
25318,"And thou shalt make staves for the altar, staves",,"...of acacia wood, and overlay them with brass."
25319,"And the staves shall be put into the rings, and the staves",,"shall be upon the two sides of the altar, to bear it. (Exodus 25:14, 27:7)"
25320,Hollow with boards shalt thou make it: as it was,,"'shewed thee in the mount, so shall they make it.' (Exodus 25:9)"
25321,And the twenty pillars thereof and their twenty sockets shall be of brass;,,...of brass; the hooks of the pillars and their fillets shall be of silver.
25322,And for the breadth of the court on the west side shall,,"be hangings of fifty cubits, their pillars ten, and their sockets ten."
25323,And the breadth of the court on the,,east and west was a hundred cubits.
25324,The hangings of one side of the gate shall be,,at the same level.
25325,And on the other side shall be hangings fifteen,,"...cubits of blue and purple and scarlet material, and fine twisted linen, and the pillars four and their sockets four. (Exodus"
25326,All the pillars round about the court shall be filleted with silver;,,...the sockets of the pillars shall be of brass; the hangings of the court shall be of fine twined linen wrought with needlework of blue
25327,"The length of the court shall be an hundred cubits, and the breadth fifty every",,"The length of the court shall be an hundred cubits, and the breadth fifty in every place, and the height five cubits of fine twined"
25328,"All the vessels of the tabernacle in all the service thereof, and all the",,"pins thereof, and all the pins of the court. (Numbers 4:32)"
25329,"And thou shalt command the children of Israel, that they bring thee pure",,"oil olive beaten for the light, to cause the lamp to burn always. (Exodus 27:20)"
25330,And thou shalt make holy garments for Aaron,,...thy brother for glory and for beauty. (Exodus 28:2)
25331,"And they shall take gold, and blue,",,"and purple and scarlet yarn, and fine linen. (Exodus 35:23, Bible)"
25332,"And they shall make the ephod of gold, of blue, and",,"...of purple, and scarlet, and fine twined linen, with cunning work. (Exodus 28:6, King James Version)"
25333,It shall have the two shoulderpieces thereof joined at the,,two edges thereof; and so it shall be joined together.
25334,"And thou shalt take two onyx stones, and grave",,"...on them the names of the children of Israel: six of their names on one stone, and the other six names of the rest on the other"
25335,"Six of their names on one stone, and the other six names",,"...on the other stone, with the names of the twelve apostles inscribed on them, as described in Revelation 21:14."
25336,And thou shalt make,,"...an altar of wood, three cubits high, three cubits long, and three cubits broad."
25337,And two chains of pure gold at the ends; of wreathed work,,"... shall they be made, and fasten the wreathed chains to the ouches."
25338,Foursquare it shall be being doubled; a span shall be the,,"length thereof, and a span shall be the breadth thereof. ( Ezekiel 40:42 )"
25339,And the second row shall be an,,"emerald, a sapphire, and a diamond."
25340,"And the third row a ligure,",,"And the third row a ligure, of an emerald."
25341,"And the fourth row a beryl, and an onyx, and a",,jasper: these were enclosed in gold filigree.
25342,And thou shalt make upon the breastplate chains at,,the ends of wreathen work of pure gold.
25343,"And thou shalt make upon the breastplate two rings of gold, and",,...shalt put the two rings on the two ends of the breastplate.
25344,And thou shalt put the two wreathed chains of gold in,,"the two rings which are on the ends of the breastplate. (Exodus 28:14, KJV)"
25345,And the other two ends of the two wreathed chains thou shalt fasten in,,"the two ouches, and put them on the shoulderpieces of the ephod beneath, before it, and above the coupling thereof, over"
25346,And thou shalt make the robe,,...of the ephod all of blue (Exodus 28:31)
25347,"A golden bell and a pomegranate, a golden bell and",,"...a pomegranate. (This pattern is from the biblical account of the high priest's garment in Exodus 28:33-34,"
25348,"And thou shalt make a plate of pure gold, and grave upon",,"it, like the engravings of a signet, HOLINESS TO THE LORD."
25349,"And thou shalt put it on a blue lace, that it may be",,"""upon the mitre; upon the forefront of the mitre it shall be."" (Exodus 28:37, KJV)"
25350,"And thou shalt embroider the coat of fine linen, and thou shalt make",,"...the mitre of fine linen, and thou shalt make the girdle of needlework."
25351,"And for Aaron's sons thou shalt make coats, and thou shalt make for them",,"girdles, and bonnets shalt thou make for them, for glory and for beauty. (Exodus 28:40)"
25352,And thou shalt make them linen breeches to cover their nakedness;,,from the loins even unto the thighs they shall reach. (Exodus 28:42)
25353,"And unleavened bread, and cakes unleavened tempered with oil, and wafers",,...unleavened anointed with oil: of wheat flour shalt thou make them. (Exodus 29:2 and Leviticus
25354,"And thou shalt put them into one basket, and bring them",,...in the basket with the calf and the unleavened bread and the wafers and offer them for a wave offering. (This quote seems
25355,And Aaron and his sons thou shalt bring unto the door of,,"the tabernacle of the congregation, and shalt wash them with water. (Exodus 29:4 and Leviticus 8:6"
25356,"And thou shalt put the mitre upon his head,",,"and shalt put the holy crown upon the mitre. (Exodus 29:6, Leviticus 8:9)"
25357,"Then shalt thou take the anointing oil, and",,"pour it upon his head, and anoint him. (Exodus 29:7)"
25358,"And thou shalt bring his sons,",,"...also, before the Lord; and the names of the sons of Aaron were Nadab the firstborn, and Abihu, Eleazar, and"
25359,And thou shalt cause a bullock to be brought before the tabernacle of the congregation:,,And thou shalt cause a bullock to be brought before the tabernacle of the congregation: and Aaron and his sons shall put their hands upon the
25360,"And thou shalt kill the bullock before the LORD,",,"by the door of the tabernacle of the congregation, and the priests, Aaron's sons, shall sprinkle the blood round about upon the altar."
25361,"But the flesh of the bullock, and his skin, and his dung, shalt",,"thou burn with fire without the camp: it is a sin offering. (Leviticus 4:11, KJV)"
25362,Thou shalt also take one ram; and Aaron and his sons,,Thou shalt also take one ram; and Aaron and his sons shall put their hands upon the head of the ram. (Exodus 29:
25363,"And thou shalt slay the ram, and thou shalt take",,"his blood, and sprinkle it round about upon the altar."
25364,"And thou shalt cut the ram in pieces, and wash the inwards of him,",,"And thou shalt cut the ram in pieces, and wash the inwards of him, and his legs, and put them upon the pieces, and upon"
